City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,afaahiti,-17.75,-149.2833,26.93,80,83,9.69,PF,1700371041
84,grytviken,-54.2811,-36.5092,1.09,98,100,1.89,GS,1700371041
85,kapuskasing,49.4169,-82.4331,-4.95,93,100,4.63,CA,1700371041
86,kodiak,57.79,-152.4072,-3.27,54,0,3.09,US,1700371041
87,morondava,-20.2833,44.2833,28.51,53,54,0.62,MG,1700371042
88,chokwe,-24.5333,32.9833,26.94,47,81,3.07,MZ,1700371042
89,chonchi,-42.6128,-73.8092,8.95,98,69,1.22,CL,1700371043
90,alice springs,-23.7,133.8833,28.75,51,78,3.6,AU,1700371043
91,college,64.8569,-147.8028,-13.82,84,100,2.06,US,1700371043
92,izmir,38.4622,27.0923,7.73,87,75,1.03,TR,1700370784
93,toliara,-23.35,43.6667,28.49,57,1,1.45,MG,1700371044
94,lupane,-18.9315,27.807,24.74,24,1,3.06,ZW,1700371044
95,tharangambadi,11.0319,79.8528,26.69,85,100,5.9,IN,1700371044
96,yangiqo'rg'on,41.1906,71.7257,11.36,49,100,2.45,UZ,1700371045
97,vilyuysk,63.7553,121.6247,-16.11,94,99,1.34,RU,1700371045
98,naze,28.3667,129.4833,17.27,59,93,4.3,JP,1700370786
99,lushun,38.8,121.2667,12.12,44,0,7.53,CN,1700371046
100,pombas,17.1503,-25.0201,22.88,67,98,4.01,CV,1700371046
101,kongolo,-5.3833,27.0,22.01,96,94,0.58,CD,1700371046
102,chos malal,-37.3781,-70.2709,10.08,58,74,3.91,AR,1700371046
103,daru,-9.0763,143.2092,29.08,66,97,4.87,PG,1700370927
104,fort mcmurray,56.7268,-111.381,2.73,87,100,1.54,CA,1700371047
105,fort-shevchenko,44.5086,50.263,10.78,60,94,10.37,KZ,1700371048
106,ancud,-41.8697,-73.8203,9.92,87,100,3.48,CL,1700371048
107,haiku-pauwela,20.9219,-156.3051,23.47,75,20,2.06,US,1700371048
108,mejit,10.2753,170.8646,28.0,78,16,7.34,MH,1700371049
109,cole harbour,44.6724,-63.4751,7.2,92,100,4.92,CA,1700370988
110,vilyuchinsk,52.9306,158.4028,1.15,99,100,3.93,RU,1700371049
111,kapa'a,22.0752,-159.319,25.99,87,75,6.17,US,1700371049
112,rota,36.6224,-6.3586,14.07,88,0,4.63,ES,1700370849
113,wanxian,30.8039,108.3897,19.08,54,6,0.95,CN,1700371050
114,constantia,44.1833,28.65,2.61,90,100,18.19,RO,1700370813
115,mount isa,-20.7333,139.5,28.87,42,59,9.77,AU,1700370814
116,hammerfest,70.6634,23.6821,-1.75,69,75,4.63,NO,1700371050
117,gisborne,-38.6533,178.0042,18.79,78,80,2.86,NZ,1700370768
118,karoi,-16.8099,29.6925,25.4,31,1,3.84,ZW,1700371051
119,okhotsk,59.3833,143.3,-10.66,76,91,8.01,RU,1700371051
120,selfoss,63.9331,-20.9971,1.55,66,85,2.95,IS,1700371051
121,jamestown,42.097,-79.2353,6.77,82,0,4.12,US,1700371052
122,badger,64.8,-147.5333,-13.86,86,100,2.06,US,1700371052
123,yinchuan,38.4681,106.2731,9.99,11,0,0.29,CN,1700371052
